C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_DN10783_c0_g1_i1	Pele_DN12023_c0_g1_i21	Pele_DN14555_c0_g1_i51	Pele_DN1152_c0_g1_i14	Pele_DN10675_c0_g1_i10	Pele_DN10729_c2_g1_i3	Pele_DN11208_c0_g1_i3	Pele_DN2421_c0_g1_i17
Pele_DN10787_c0_g1_i2	Pele_DN12038_c0_g1_i10	Pele_DN14586_c0_g1_i11	Pele_DN1152_c0_g1_i9	Pele_DN10703_c0_g2_i3	Pele_DN1073_c0_g1_i2	Pele_DN11256_c0_g1_i1	Pele_DN2481_c0_g1_i6
Pele_DN107919_c0_g2_i1	Pele_DN12049_c0_g1_i1	Pele_DN1458_c1_g1_i6	Pele_DN11567_c2_g1_i16	Pele_DN10725_c0_g1_i4	Pele_DN10780_c0_g1_i12	Pele_DN113383_c0_g1_i8	Pele_DN250_c5_g1_i1
Pele_DN10792_c0_g1_i14	Pele_DN1205_c0_g1_i5	Pele_DN14660_c0_g1_i1	Pele_DN115_c33_g2_i4	Pele_DN1074_c0_g3_i1	Pele_DN10804_c0_g2_i3	Pele_DN11448_c1_g1_i15	Pele_DN25983_c0_g1_i3
Pele_DN10792_c0_g1_i7	Pele_DN120716_c1_g1_i5	Pele_DN14737_c0_g2_i3	Pele_DN1162_c7_g1_i1	Pele_DN10763_c1_g1_i1	Pele_DN10820_c0_g1_i13	Pele_DN11453_c0_g4_i1	Pele_DN2639_c0_g2_i5
Pele_DN10792_c1_g1_i1	Pele_DN1225_c0_g1_i1	Pele_DN1473_c0_g1_i117	Pele_DN11636_c0_g1_i20	Pele_DN107_c0_g1_i10	Pele_DN10835_c0_g2_i10	Pele_DN114554_c0_g1_i1	Pele_DN26578_c0_g1_i1
Pele_DN10795_c0_g1_i5	Pele_DN123649_c0_g1_i1	Pele_DN148078_c0_g1_i5	Pele_DN1166_c0_g1_i2	Pele_DN108344_c3_g1_i4	Pele_DN1083_c0_g1_i12	Pele_DN11477_c0_g1_i13	Pele_DN280_c0_g1_i13
Pele_DN10798_c0_g1_i1	Pele_DN124696_c0_g1_i1	Pele_DN1505_c0_g1_i40	Pele_DN1172_c0_g1_i3	Pele_DN1086_c0_g1_i11	Pele_DN10850_c0_g1_i20	Pele_DN11477_c0_g1_i2	Pele_DN2863_c0_g1_i3
Pele_DN108041_c0_g1_i3	Pele_DN1256_c1_g1_i4	Pele_DN1505_c0_g1_i5	Pele_DN11749_c0_g1_i13	Pele_DN10890_c0_g1_i1	Pele_DN1086_c0_g1_i1	Pele_DN1147_c1_g1_i14	Pele_DN2931_c0_g1_i6
Pele_DN10887_c0_g2_i11	Pele_DN12650_c0_g1_i2	Pele_DN15073_c0_g1_i5	Pele_DN11759_c0_g1_i1	Pele_DN108_c0_g1_i16	Pele_DN1086_c0_g1_i21	Pele_DN1152_c0_g1_i24	Pele_DN2940_c1_g1_i1
